Clave del centro de trabajo;Clave del turno;Nombre del turno;Nombre del centro de trabajo;Tipo educativo;Nivel educativo;Servicio educativo;Nombre del control (Público o Privado);Tipo de sostenimiento;Clave de la entidad federativa;Nombre de la entidad;Clave del municipio o delegación;Nombre del municipio o delegación;Clave de la localidad;Nombre de localidad;Domicilio;Número exterior;Entre la calle;Y la calle;Calle posterior;Colonia;Nombre de la colonia;Código postal;Página web;Alumnos total (hombres);Alumnos total (mujeres);Alumnos total;Docentes total (hombres);Docentes total (mujeres);Docentes total;Aulas en uso;Aulas existentes;Tipo de localidad U - Urbano, R - Rural;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados
16PJN0380L;1;MATUTINO;INSTITUTO EDUCATIVO EL REINO DE SOFIA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JURHIATA;328;CALLE PARICUTÍN;AVENIDA MARUATA LUGAR PRECIOSO;CALLE PIREKUA;253;SANTA BÁRBARA;60180;;25;28;53;0;3;3;3;3;;102:2:36.80 W;19:22:33.48 N;-102,043556;19,375967
16PJN0587C;1;MATUTINO;VIDA Y MISION;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE GERTRUDIS BOCANEGRA;3;CALLE VENUSTIANO CARRANZA;CALLE CONSTITUCION;CALLE CALZADA BENITO JUAREZ;135;LA CHARANDA;60040;;15;15;30;0;3;3;3;3;;102:3:37.34 W;19:25:36.78 N;-102,060371;19,426883
16DJN0209X;1;MATUTINO;ISAAC NEWTON;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;82;JUCUTÁCATO;AVENIDA ADOLFO LOPEZ MATEOS;0;CALLE MIGUEL HIDALGO;CALLE JOSE MARIA MORELOS;NINGUNO NINGUNO;2;JUCUTÁCATO;60230;;45;60;105;2;4;6;6;6;;102:4:44.00 W;19:22:29.00 N;-102,078889;19,374722
16DJN2563B;1;MATUTINO;FRANCISCO GABILONDO SOLER;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MARTE;0;CALLE SOL;CALLE UNIVERSO;CALLE SOL;325;PLANETARIO;60157;;;;;;;;;;;102:1:9.87 W;19:23:8.34 N;-102,019409;19,385651
16EJN0026O;1;MATUTINO;JOSE ROSAS MORENO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA LAZARO CARDENAS;527;CALLE REPÚBLICA DE CUBA;CALLE RAMON DANZOS PALOMINOS;CALLE EMILIANO ZAPATA;12;28 DE OCTUBRE;60010;;48;64;112;0;8;8;8;8;;102:4:45.71 W;19:25:43.40 N;-102,079363;19,428722
16DJN1573B;1;MATUTINO;CUITLAHUAC;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;86;MATANGUARÁN (SAN JOSÉ DEL VALLE);NINGUNO DOMICILIO CONOCIDO;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;2;MATANGUARÁN;60235;;23;21;44;0;2;2;2;2;;102:5:52.05 W;19:20:22.55 N;-102,097792;19,339598
16DJN0040I;2;VESPERTINO;FRANCISCO GABILONDO SOLER;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MARTE;0;CALLE UNIVERSO;CALLE SOL;CALLE PLUTÓN;325;PLANETARIO;60157;;31;29;60;1;2;3;3;3;;102:1:36.83 W;19:23:0.16 N;-102,026897;19,383378
16PJN0534Y;1;MATUTINO;MAHATMA GANDHI;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE ARCADIO MARTINEZ;70;CALLE VICENTE GUERRERO;CALLE PLUTARCO ELIAS;CALLE DE LA FUENTE;381;LAZARO CARDENAS;60135;;42;49;91;0;5;5;5;20;;102:1:39.92 W;19:24:50.57 N;-102,027756;19,414046
16SJN0007C;5;CONTINUO;CENTRO DE DESARROLLO INFANTIL TZIPECUARO;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;SUBSIDIO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA ANILLO DE CIRCUNVALACIÓN;0;AVENIDA LENIN;CALLE PRINCIPAL;CALLE VLADIMIR ILICH LENIN;138;LA ESPERANZA;60010;;52;48;100;0;6;6;6;6;;102:4:33.18 W;19:25:52.91 N;-102,075883;19,431365
16DJN0109Y;2;VESPERTINO;DIEGO RIVERA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA QUIRINDAVARA;0;CALLE SOR JUANA INÉS DE LA CRUZ;AVENIDA SANTA ROSA;CALLE ENRIQUE AGUILAR;206;MOVIMIENTO MAGISTERIAL;60190;;36;22;58;0;3;3;3;3;;102:2:35.59 W;19:22:44.30 N;-102,04322;19,378971
16PJN0373B;1;MATUTINO;JUEGA Y APRENDE;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE TLAXCALA;2048;CALLE BRUSELAS;CALLE DE ESTOCOLMO;CALLE CUBA;182;LOS ÁNGELES;60160;;36;31;67;0;3;3;3;3;;102:3:15.66 W;19:23:54.73 N;-102,054351;19,398535
16DJN0861N;1;MATUTINO;PELAGIO A RODRIGUEZ GUILLEN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;349;LA COFRADÍA;NINGUNO LIBRAMIENTO ORIENTE;0;NINGUNO CAMINO VIEJO A TOREO;AVENIDA LÁZARO CÁRDENAS;CALLE CAMINO VIEJO A TOREO;2;LA COFRADÍA;60126;;56;84;140;0;6;6;6;6;;102:1:31.27 W;19:25:42.19 N;-102,025354;19,428385
16DJN1578X;1;MATUTINO;JOSE VASCONCELOS;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;90;NUEVO ZIROSTO;CALLE JUAN DE DIOS PEZA;0;CALLE VASCO DE QUIROGA;CALLE MOTOLINIA;NINGUNO NINGUNO;2;NUEVO ZIROSTO;60200;;58;38;96;1;4;5;5;5;;102:19:26.26 W;19:32:5.24 N;-102,32396;19,53479
16PJN0352P;1;MATUTINO;INSTITUTO SANTA MARIA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE DIAGONAL ALDAMA;27;CALLE PEDRO DE LEÓN;PRIVADA PRIMERA DIAGONAL ALDAMA;NINGUNO NINGUNO;156;LA TAMACUA;60090;;40;51;91;0;4;4;4;5;;102:3:45.82 W;19:24:35.78 N;-102,062729;19,409939
16DJN0835P;1;MATUTINO;ISIDRO HUARTE;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;90;NUEVO ZIROSTO;CALLE TABACHIN;0;CALLE OLIVO;CALLE ARAUCARIA;CALLE ENCINO;2;NUEVO ZIROSTO;60200;;;;;;;;;;;102:20:54.56 W;19:32:59.88 N;-102,348488;19,549967
16DJN2099V;1;MATUTINO;COSMOS;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA UNIVERSO;305;CERRADA NINGUNO;CALLE DIA;CALLE JESUS ROMERO FLORES;296;SOL NACIENTE;60154;;56;67;123;0;6;6;6;6;;102:1:31.92 W;19:24:18.71 N;-102,025532;19,405197
16PJN0685D;1;MATUTINO;FRIDA KAHLO;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE OYAMEL FRACCIONAMIENTO COLORIN NORTE;153;CALLE JOSE CLEMENTE OROZCO;CALLE DIEGO RIVERA;CALLE PARAGUAY;9;NINGUNO;0;;14;15;29;0;3;3;3;4;;102:3:46.80 W;19:25:15.24 N;-102,063;19,4209
16DJN0860O;1;MATUTINO;HEROES DE URUAPAN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE VERACRUZANA;0;CALLE AGUACATE;CALLE PERA;CALLE DURAZNO;122;JARDINES DE SAN RAFAEL;60136;;72;80;152;0;6;6;6;6;;102:0:30.14 W;19:25:7.63 N;-102,008372;19,418787
16PJN0322V;1;MATUTINO;SOR JUANA INES DE LA CRUZ;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MARCOS W MENDEZ;4;CALLE 5 DE FEBRERO;CALLE CENTRAL CUPATITZIO;CALLE RAFAEL LEDEZMA;361;CENTRO (FRATERNIDAD);60073;;27;15;42;0;3;3;3;3;;102:3:50.72 W;19:24:52.11 N;-102,064089;19,414475
16PJN0076B;1;MATUTINO;PEQUEÑOS EN ACCIÓN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE CALZADA DEL PEDREGAL;861;CALLE DELICIAS;CALLE NORTE;CALLE NIÑO OBRERO;101;GRANJAS DEL PEDREGAL;60090;;19;22;41;0;3;3;5;5;;102:3:47.20 W;19:24:11.85 N;-102,06311;19,403292
16EJN0223P;1;MATUTINO;ADOLFO SILVA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JOSÉ MARTÍ;10;CALLE THOMAS ALVA EDISON;CALLE ISAAC NEWTON;CALLE AMÉRICO VESPUCIO;306;VALLE DE SAN PEDRO;60063;;32;24;56;0;3;3;2;2;;102:4:21.06 W;19:24:48.99 N;-102,072516;19,413608
16PJN0260Z;1;MATUTINO;MAIN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;PROLONGACIÓN MAZATLAN;1247;CALLE RÍO DE JANEIRO;CALLE AMSTERDAM;CALLE MANUEL PÉREZ CORONADO;124;JARDINES DEL CUPATITZIO;60080;;47;31;78;0;5;5;5;5;;102:3:25.18 W;19:24:1.82 N;-102,056995;19,400505
16DJN0126O;1;MATUTINO;FRIDA KAHLO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE FERRÓN;0;NINGUNO NINGUNO;CALLE BOBAL;CALLE JOSEFA ORTIZ DE DOMÍNGUEZ;382;LOS VIÑEDOS;60094;;27;41;68;1;3;4;4;4;;102:4:36.56 W;19:24:21.57 N;-102,076822;19,405991
16DJN0145C;1;MATUTINO;ROSAURA ZAPATA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE GARCÍA ORTIZ;3;CALLE PORTAL MERCADO;CALLE DONATO GUERRA;CALLE OCAMPO;54;CENTRO;60000;;79;57;136;0;6;6;6;6;;102:3:47.68 W;19:25:18.61 N;-102,063245;19,421835
16SJN0006D;5;CONTINUO;CENTRO DE DESARROLLO INFANTIL TZIPIPARIN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;SUBSIDIO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA PASEO DE LA REVOLUCIÓN;55;CALLE ENCINOS;AVENIDA ZUMPIMITO;CALLE COBANO;123;JARDINES DEL BOSQUE;60183;;43;35;78;0;3;3;3;3;;102:3:33.85 W;19:22:45.68 N;-102,059404;19,379355
16DJN0130A;1;MATUTINO;MANUEL PEREZ CORONADO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;ANDADOR CAOBA;0;CALLE FUERTE;CALLE LICÓN;ANDADOR HASS;113;INFONAVIT AGUACATES;60170;;35;40;75;0;6;6;6;6;;102:3:9.32 W;19:23:48.33 N;-102,052589;19,396757
16PJN0686C;1;MATUTINO;INSTITUTO FREINET;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MELITON MUZQUIZ;2;CALLE CARLOS SALINAS DE GORTARI;CALLE SAN FRANCISCO URUAPAN;CALLE ANASTASIO BUSTAMANTE;378;;0;;15;12;27;0;1;1;1;6;;102:1:37.20 W;19:23:42.00 N;-102,027;19,395
16PJN0536W;1;MATUTINO;PASO A PASITO;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE PLAN DE AYALA;0;NINGUNO CAMINO VIEJO A ZUMPIMITO;CALLE PLAN DE AYALA;AVENIDA VIADUCTO;18;EMILIANO ZAPATA;60180;;21;15;36;0;3;3;3;3;;102:3:11.58 W;19:23:27.91 N;-102,053216;19,391085
16DNM0009W;1;MATUTINO;MANUEL OCARANZA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE DURAZNOS LA HUERTA;0;CALLE LIMON;NINGUNO NINGUNO;NINGUNO NINGUNO;378;;0;;13;18;31;0;3;3;3;3;;102:0:35.22 W;19:24:17.24 N;-102,009782;19,40479
16PJN0210R;1;MATUTINO;GANDHI;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE BENITO JUAREZ;0;CALLE MELCHOR OCAMPO;NINGUNO NINGUNO;PRIVADA MELCHOR OCAMPO;89;FRANCISCO J. MÚJICA;60050;;9;5;14;0;2;2;2;3;;102:1:17.58 W;19:25:45.47 N;-102,021549;19,429297
16PJN0199L;1;MATUTINO;CENTRO ESCOLAR MICHOACAN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JUAN N. MÉNDEZ;42;CALLE CAPITÁN EVARISTO CABRERA;CALLE GENERAL MIGUEL NEGRETE;CALLE GENERAL JUAN FRANCISCO LUCAS;399;IGNACIO ZARAGOZA;58114;;8;6;14;1;1;2;2;3;;101:12:11.50 W;19:43:25.89 N;-101,203195;19,723857
16EJN0222Q;1;MATUTINO;BENITO JUAREZ;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA DE LAS JACARANDAS;4;NINGUNO NINGUNO;CALLE NINGUNO;NINGUNO NINGUNO;43;BENITO JUÁREZ;60090;;24;22;46;0;3;3;3;3;;102:3:57.52 W;19:23:51.61 N;-102,065978;19,397669
16PJN0516I;1;MATUTINO;NUEVA ERA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE INSURGENTES;168;CALLE YACATAS;CALLE CEDROS;CALLE GUSTAVO DÍAZ ORDAZ;220;POPULAR CAMPESTRE;60100;;12;12;24;0;3;3;3;4;;102:1:55.17 W;19:25:51.90 N;-102,031991;19,431082
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La información contenida en el Sistema de Información y Gestión Educativa (SIGED) se integra con fundamento en lo dispuesto en los artículos 113 fracción XIII y 114 fracción IX de la Ley General de Educación, así como de otras disposiciones normativas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dirección General de Planeación, Programación y Estadística Educativa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuentes:;Información de centros de trabajo educativos: Catálogo Nacional de Centros de Trabajo, Dirección General de Planeación, Programación y Estadística Educativa / SEP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Información estadística educativa: Cuestionarios del formato 911 (inicio de ciclo escolar 2023 - 2024), Dirección General de Planeación, Programación y Estadística Educativa / SEP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
