Clave del centro de trabajo;Clave del turno;Nombre del turno;Nombre del centro de trabajo;Tipo educativo;Nivel educativo;Servicio educativo;Nombre del control (Público o Privado);Tipo de sostenimiento;Clave de la entidad federativa;Nombre de la entidad;Clave del municipio o delegación;Nombre del municipio o delegación;Clave de la localidad;Nombre de localidad;Domicilio;Número exterior;Entre la calle;Y la calle;Calle posterior;Colonia;Nombre de la colonia;Código postal;Página web;Alumnos total (hombres);Alumnos total (mujeres);Alumnos total;Docentes total (hombres);Docentes total (mujeres);Docentes total;Aulas en uso;Aulas existentes;Tipo de localidad U - Urbano, R - Rural;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados
16DJN1938S;1;MATUTINO;NARCISO BASSOLS;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE BENITO JUÁREZ;0;CALLE AMATISTA;CALLE DEL NIÑO;CALLE JADE;213;PALITO VERDE;60094;;51;52;103;0;6;6;6;6;;102:4:9.03 W;19:24:2.05 N;-102,069174;19,400569
16DJN0105B;1;MATUTINO;MARIA DE MAEZTU;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE SABINO;0;CALLE ÁLAMO;CALLE CASUARINAS;CALLE GALEANA;150;LA PINERA PRIMERA SECCIÓN;60090;;19;20;39;0;3;3;3;3;;102:3:40.22 W;19:22:44.70 N;-102,061173;19,379083
16PJN0142K;1;MATUTINO;CASA DEL NIÑO;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE DEL NIÑO;11;AVENIDA ANILLO DE CIRCUNVALACIÓN;CALLE NIÑO OBRERO;NINGUNO NINGUNO;224;PROGRESO;60090;;69;59;128;0;4;4;4;5;;102:3:58.86 W;19:24:19.51 N;-102,066351;19,405419
16DJN2126B;1;MATUTINO;ROSARIO CASTELLANOS;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JOSE JUSTO CORRO;0;CALLE J. J. HERRERA;CALLE VICTORIANO HUERTA;CALLE CARLOS SALINAS DE GORTARI;242;SAN FRANCISCO;60157;;;;;;;;;;;102:1:33.99 W;19:23:36.01 N;-102,026108;19,393335
16PJN0435Y;1;MATUTINO;CASA DE LOS NIÑOS RENILDE MONTESSORI;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA LATINOAMERICANA;4;CALLE SIMÓN BOLÍVAR;CALLE CUBA;CALLE ARGENTINA;182;LOS ÁNGELES;60160;;9;14;23;0;1;1;1;1;;102:3:10.50 W;19:24:21.43 N;-102,052918;19,405954
16EJN0224O;1;MATUTINO;EJERCITO MEXICANO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE CRISTOBAL LIMON;10;NINGUNO NINGUNO;CALLE GABRIEL CERVERA;CALLE GENERAL HERIBERTO JARA;67;EJÉRCITO MEXICANO;60154;;27;29;56;1;3;4;3;3;;102:1:30.62 W;19:24:35.61 N;-102,025172;19,409891
16PJN0606A;1;MATUTINO;COLEGIO ALBERT EINSTEIN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE DIA;562;CALLE J. JESUS R. FLORES;AVENIDA UNIVERSO;CALLE TIERRA;296;SOL NACIENTE;60154;;11;16;27;0;3;3;3;3;;102:1:33.90 W;19:24:18.62 N;-102,026084;19,405172
16DJN2308K;1;MATUTINO;MARIA MONTESSORI;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA SOL AZTECA;0;CALLE TENOCHTITLAN;CALLE NEZAHUALCÓYOTL;CALLE CUITLÁHUAC;211;OBSERVATORIO;60105;;37;31;68;0;4;4;4;4;;102:1:0.47 W;19:25:2.88 N;-102,016798;19,417467
16DJN2616Q;2;VESPERTINO;JARDIN DE NIÑOS;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE COSTA RICA;0;CALLE REPÚBLICA DE CHILE;CALLE BOLIVIA;CALLE BELICE;71;EL COLORÍN;60120;;31;26;57;0;5;5;5;9;;102:2:12.44 W;19:25:6.58 N;-102,03679;19,418495
16PJN0460X;1;MATUTINO;PEQUEÑO EXPLORADOR;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE BUGAMBILIAS;298;CALLE HERMANOS LÓPEZ RAYÓN;CALLE INSURGENTES;NINGUNO CARRETERA URUAPAN-PATZCUARO;393;SIN NOMBRE;60128;;37;29;66;0;4;4;4;8;;102:1:57.45 W;19:25:41.43 N;-102,032624;19,428175
